Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,rn
8053475328,5/7/2016 0:00:00,1,74,75,1
8053475328,4/23/2016 12:00:00,1,331,337,1
8053475328,4/20/2016 12:00:00,1,486,493,1
1644430081,5/8/2016 0:00:00,1,137,154,1
1644430081,5/2/2016 0:00:00,1,796,961,1
1644430081,4/29/2016 12:00:00,1,119,127,1
1644430081,4/30/2016 12:00:00,1,124,142,1
4558609924,5/8/2016 0:00:00,1,123,134,1
4558609924,4/21/2016 12:00:00,1,126,137,1
4558609924,4/29/2016 12:00:00,1,171,179,1
4558609924,5/1/2016 0:00:00,1,115,129,1
4558609924,4/26/2016 12:00:00,1,103,121,1
4319703577,4/29/2016 12:00:00,1,523,546,1
4319703577,5/3/2016 0:00:00,1,474,512,1
4319703577,4/16/2016 12:00:00,1,506,522,1
4319703577,4/25/2016 12:00:00,1,488,506,1
4319703577,5/6/2016 0:00:00,1,450,491,1
4319703577,4/24/2016 12:00:00,1,467,501,1
4319703577,4/18/2016 12:00:00,1,515,551,1
4319703577,4/15/2016 12:00:00,1,465,491,1
4319703577,4/20/2016 12:00:00,1,523,543,1
4319703577,5/9/2016 0:00:00,1,535,565,1
4319703577,4/21/2016 12:00:00,1,59,65,1
4319703577,4/26/2016 12:00:00,1,505,516,1
4319703577,4/22/2016 12:00:00,1,533,550,1
4319703577,5/11/2016 0:00:00,1,529,558,1
4319703577,4/23/2016 12:00:00,1,692,722,1
4319703577,5/1/2016 0:00:00,1,484,500,1
4319703577,5/2/2016 0:00:00,1,478,506,1
4319703577,4/30/2016 12:00:00,1,490,516,1
4319703577,4/14/2016 12:00:00,1,535,557,1
4319703577,4/28/2016 12:00:00,1,497,522,1
4319703577,4/27/2016 12:00:00,1,286,307,1
4319703577,5/10/2016 0:00:00,1,487,517,1
4319703577,5/7/2016 0:00:00,1,507,530,1
4319703577,5/8/2016 0:00:00,1,602,638,1
4319703577,5/12/2016 0:00:00,1,302,321,1
2320127002,4/23/2016 12:00:00,1,61,69,1
1503960366,5/10/2016 0:00:00,1,383,403,1
1503960366,4/12/2016 0:00:00,1,327,346,1
1503960366,4/30/2016 12:00:00,1,404,425,1
1503960366,5/8/2016 0:00:00,1,594,611,1
1503960366,4/20/2016 12:00:00,1,360,377,1
1503960366,5/6/2016 0:00:00,1,334,367,1
1503960366,4/17/2016 12:00:00,1,700,712,1
1503960366,5/11/2016 0:00:00,1,285,306,1
1503960366,5/2/2016 0:00:00,1,277,309,1
1503960366,4/28/2016 12:00:00,1,366,393,1
1503960366,4/26/2016 12:00:00,1,245,274,1
1503960366,5/5/2016 0:00:00,1,247,264,1
1503960366,4/15/2016 12:00:00,1,412,442,1
1503960366,4/19/2016 12:00:00,1,304,320,1
1503960366,5/3/2016 0:00:00,1,273,296,1
1503960366,5/1/2016 0:00:00,1,369,396,1
1503960366,5/7/2016 0:00:00,1,331,349,1
1503960366,5/9/2016 0:00:00,1,338,342,1
1503960366,4/29/2016 12:00:00,1,341,354,1
1503960366,4/21/2016 12:00:00,1,325,364,1
1503960366,4/24/2016 12:00:00,1,430,449,1
1503960366,4/23/2016 12:00:00,1,361,384,1
1503960366,4/25/2016 12:00:00,1,277,323,1
2347167796,4/21/2016 12:00:00,1,460,484,1
2347167796,4/14/2016 12:00:00,1,445,489,1
2347167796,4/23/2016 12:00:00,1,374,386,1
2347167796,4/26/2016 12:00:00,1,436,490,1
2347167796,4/29/2016 12:00:00,1,411,473,1
2347167796,4/15/2016 12:00:00,1,452,504,1
2347167796,4/22/2016 12:00:00,1,405,461,1
2347167796,4/25/2016 12:00:00,1,433,471,1
2347167796,4/18/2016 12:00:00,1,500,557,1
2347167796,4/27/2016 12:00:00,1,448,499,1
2347167796,4/28/2016 12:00:00,1,408,450,1
2347167796,4/13/2016 12:00:00,1,467,531,1
2347167796,4/19/2016 12:00:00,1,465,514,1
2347167796,4/24/2016 12:00:00,1,442,459,1
2347167796,4/17/2016 12:00:00,1,556,602,1
4388161847,5/1/2016 0:00:00,1,547,597,1
4388161847,4/22/2016 12:00:00,1,82,85,1
4388161847,5/9/2016 0:00:00,1,62,65,1
4388161847,4/28/2016 12:00:00,1,428,458,1
4388161847,4/20/2016 12:00:00,1,421,451,1
4388161847,5/4/2016 0:00:00,1,390,414,1
4388161847,4/26/2016 12:00:00,1,319,346,1
4388161847,5/7/2016 0:00:00,1,472,496,1
4388161847,4/18/2016 12:00:00,1,99,104,1
